,programmer,analyst,administrator,clerk,cook,receptionist,web developer,software engineer,mechanical engineer,nurse,cashier,lifeguard,teacher
programmer,1.0,0.8705,0.8049,0.7033,0.5643,0.7066,0.9821,0.9874,0.7877,0.6197,0.6664,0.5427,0.6429
analyst,0.8705,1.0,0.9449,0.8783,0.6569,0.8656,0.836,0.8657,0.8534,0.7271,0.7734,0.5817,0.7161
administrator,0.8049,0.9449,1.0,0.958,0.7032,0.9541,0.7756,0.7953,0.8303,0.7454,0.8227,0.6048,0.7481
clerk,0.7033,0.8783,0.958,1.0,0.7324,0.9763,0.674,0.6965,0.7875,0.7733,0.8395,0.6287,0.7412
cook,0.5643,0.6569,0.7032,0.7324,1.0,0.755,0.5413,0.5556,0.658,0.6234,0.7885,0.6111,0.7458
receptionist,0.7066,0.8656,0.9541,0.9763,0.755,1.0,0.6804,0.6957,0.7749,0.7738,0.8666,0.6474,0.7722
web developer,0.9821,0.836,0.7756,0.674,0.5413,0.6804,1.0,0.9613,0.7424,0.6041,0.6371,0.5138,0.624
software engineer,0.9874,0.8657,0.7953,0.6965,0.5556,0.6957,0.9613,1.0,0.791,0.6148,0.6644,0.5348,0.626
mechanical engineer,0.7877,0.8534,0.8303,0.7875,0.658,0.7749,0.7424,0.791,1.0,0.7073,0.7196,0.6264,0.6691
nurse,0.6197,0.7271,0.7454,0.7733,0.6234,0.7738,0.6041,0.6148,0.7073,1.0,0.6841,0.7883,0.806
cashier,0.6664,0.7734,0.8227,0.8395,0.7885,0.8666,0.6371,0.6644,0.7196,0.6841,1.0,0.6139,0.7231
lifeguard,0.5427,0.5817,0.6048,0.6287,0.6111,0.6474,0.5138,0.5348,0.6264,0.7883,0.6139,1.0,0.7817
teacher,0.6429,0.7161,0.7481,0.7412,0.7458,0.7722,0.624,0.626,0.6691,0.806,0.7231,0.7817,1.0
